id_enquete,id_critere,texte_critere,question_texte,precision
2,7,Favoriser une meilleure articulation des temps de vie et un partage équilibré des responsabilités parentales,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
2,8,"Favoriser l'égal accès des femmes et des hommes aux mandats électoraux et aux fonctions électives, ainsi qu'aux responsabilités professionnelles et sociales",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
2,9,"Garantir l’égal accès des femmes et des hommes à la création et à la production culturelle et artistique, ainsi qu'à la diffusion des œuvres",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
2,10,Diffuser les recherches sur la construction sociale des rôles sexués,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
3,1,Lutter contre les violences faites aux femmes et les atteintes à leur dignité,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
3,2,Lutter contre la prostitution,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
3,3,Lutter contre les préjugés sur la place et le rôle des femmes et des hommes dans la société,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
3,4,"Assurer aux femmes la maîtrise de leur sexualité, notamment par l'accès à la contraception et à l'interruption volontaire de grossesse",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
3,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
3,8,"Favoriser l'égal accès des femmes et des hommes aux mandats électoraux et aux fonctions électives, ainsi qu'aux responsabilités professionnelles et sociales",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
4,4,"Assurer aux femmes la maîtrise de leur sexualité, notamment par l'accès à la contraception et à l'interruption volontaire de grossesse",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
4,5,Lutter contre la précarité des femmes,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
4,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
4,7,Favoriser une meilleure articulation des temps de vie et un partage équilibré des responsabilités parentales,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
5,3,Lutter contre les préjugés sur la place et le rôle des femmes et des hommes dans la société,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
5,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
5,7,Favoriser une meilleure articulation des temps de vie et un partage équilibré des responsabilités parentales,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
5,10,Diffuser les recherches sur la construction sociale des rôles sexués,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
6,1,Lutter contre les violences faites aux femmes et les atteintes à leur dignité,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
6,4,"Assurer aux femmes la maîtrise de leur sexualité, notamment par l'accès à la contraception et à l'interruption volontaire de grossesse",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
6,5,Lutter contre la précarité des femmes,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
6,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
7,5,Lutter contre la précarité des femmes,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
7,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
8,3,Lutter contre les préjugés sur la place et le rôle des femmes et des hommes dans la société,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
9,1,Lutter contre les violences faites aux femmes et les atteintes à leur dignité,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
10,1,Lutter contre les violences faites aux femmes et les atteintes à leur dignité,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
10,2,Lutter contre la prostitution,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
10,3,Lutter contre les préjugés sur la place et le rôle des femmes et des hommes dans la société,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
10,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
11,1,Lutter contre les violences faites aux femmes et les atteintes à leur dignité,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
11,3,Lutter contre les préjugés sur la place et le rôle des femmes et des hommes dans la société,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
11,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
11,8,"Favoriser l'égal accès des femmes et des hommes aux mandats électoraux et aux fonctions électives, ainsi qu'aux responsabilités professionnelles et sociales",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
12,1,Lutter contre les violences faites aux femmes et les atteintes à leur dignité,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
12,3,Lutter contre les préjugés sur la place et le rôle des femmes et des hommes dans la société,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
12,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
12,8,"Favoriser l'égal accès des femmes et des hommes aux mandats électoraux et aux fonctions électives, ainsi qu'aux responsabilités professionnelles et sociales",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
13,1,Lutter contre les violences faites aux femmes et les atteintes à leur dignité,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
13,4,"Assurer aux femmes la maîtrise de leur sexualité, notamment par l'accès à la contraception et à l'interruption volontaire de grossesse",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
13,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
13,8,"Favoriser l'égal accès des femmes et des hommes aux mandats électoraux et aux fonctions électives, ainsi qu'aux responsabilités professionnelles et sociales",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
14,4,"Assurer aux femmes la maîtrise de leur sexualité, notamment par l'accès à la contraception et à l'interruption volontaire de grossesse",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
14,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
14,8,"Favoriser l'égal accès des femmes et des hommes aux mandats électoraux et aux fonctions électives, ainsi qu'aux responsabilités professionnelles et sociales",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
15,3,Lutter contre les préjugés sur la place et le rôle des femmes et des hommes dans la société,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
15,10,Diffuser les recherches sur la construction sociale des rôles sexués,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
16,1,Lutter contre les violences faites aux femmes et les atteintes à leur dignité,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
16,2,Lutter contre la prostitution,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
16,3,Lutter contre les préjugés sur la place et le rôle des femmes et des hommes dans la société,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
16,4,"Assurer aux femmes la maîtrise de leur sexualité, notamment par l'accès à la contraception et à l'interruption volontaire de grossesse",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
16,5,Lutter contre la précarité des femmes,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
16,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
16,7,Favoriser une meilleure articulation des temps de vie et un partage équilibré des responsabilités parentales,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
16,8,"Favoriser l'égal accès des femmes et des hommes aux mandats électoraux et aux fonctions électives, ainsi qu'aux responsabilités professionnelles et sociales",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
16,9,"Garantir l’égal accès des femmes et des hommes à la création et à la production culturelle et artistique, ainsi qu'à la diffusion des œuvres",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
16,10,Diffuser les recherches sur la construction sociale des rôles sexués,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
17,1,Lutter contre les violences faites aux femmes et les atteintes à leur dignité,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
17,2,Lutter contre la prostitution,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
17,3,Lutter contre les préjugés sur la place et le rôle des femmes et des hommes dans la société,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
17,4,"Assurer aux femmes la maîtrise de leur sexualité, notamment par l'accès à la contraception et à l'interruption volontaire de grossesse",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
17,5,Lutter contre la précarité des femmes,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
17,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
17,7,Favoriser une meilleure articulation des temps de vie et un partage équilibré des responsabilités parentales,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
18,1,Lutter contre les violences faites aux femmes et les atteintes à leur dignité,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
18,3,Lutter contre les préjugés sur la place et le rôle des femmes et des hommes dans la société,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
18,4,"Assurer aux femmes la maîtrise de leur sexualité, notamment par l'accès à la contraception et à l'interruption volontaire de grossesse",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
18,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
18,7,Favoriser une meilleure articulation des temps de vie et un partage équilibré des responsabilités parentales,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
18,8,"Favoriser l'égal accès des femmes et des hommes aux mandats électoraux et aux fonctions électives, ainsi qu'aux responsabilités professionnelles et sociales",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
18,10,Diffuser les recherches sur la construction sociale des rôles sexués,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
19,1,Lutter contre les violences faites aux femmes et les atteintes à leur dignité,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
19,3,Lutter contre les préjugés sur la place et le rôle des femmes et des hommes dans la société,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
19,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
20,1,Lutter contre les violences faites aux femmes et les atteintes à leur dignité,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
20,2,Lutter contre la prostitution,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
20,3,Lutter contre les préjugés sur la place et le rôle des femmes et des hommes dans la société,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
20,4,"Assurer aux femmes la maîtrise de leur sexualité, notamment par l'accès à la contraception et à l'interruption volontaire de grossesse",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
20,5,Lutter contre la précarité des femmes,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
20,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
20,7,Favoriser une meilleure articulation des temps de vie et un partage équilibré des responsabilités parentales,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
20,8,"Favoriser l'égal accès des femmes et des hommes aux mandats électoraux et aux fonctions électives, ainsi qu'aux responsabilités professionnelles et sociales",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
20,9,"Garantir l’égal accès des femmes et des hommes à la création et à la production culturelle et artistique, ainsi qu'à la diffusion des œuvres",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
21,1,Lutter contre les violences faites aux femmes et les atteintes à leur dignité,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
21,3,Lutter contre les préjugés sur la place et le rôle des femmes et des hommes dans la société,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
21,4,"Assurer aux femmes la maîtrise de leur sexualité, notamment par l'accès à la contraception et à l'interruption volontaire de grossesse",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
21,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
21,7,Favoriser une meilleure articulation des temps de vie et un partage équilibré des responsabilités parentales,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
22,1,Lutter contre les violences faites aux femmes et les atteintes à leur dignité,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
22,4,"Assurer aux femmes la maîtrise de leur sexualité, notamment par l'accès à la contraception et à l'interruption volontaire de grossesse",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
22,5,Lutter contre la précarité des femmes,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
22,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
22,7,Favoriser une meilleure articulation des temps de vie et un partage équilibré des responsabilités parentales,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
22,8,"Favoriser l'égal accès des femmes et des hommes aux mandats électoraux et aux fonctions électives, ainsi qu'aux responsabilités professionnelles et sociales",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
23,3,Lutter contre les préjugés sur la place et le rôle des femmes et des hommes dans la société,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
23,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
23,7,Favoriser une meilleure articulation des temps de vie et un partage équilibré des responsabilités parentales,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
23,8,"Favoriser l'égal accès des femmes et des hommes aux mandats électoraux et aux fonctions électives, ainsi qu'aux responsabilités professionnelles et sociales",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
24,1,Lutter contre les violences faites aux femmes et les atteintes à leur dignité,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
24,3,Lutter contre les préjugés sur la place et le rôle des femmes et des hommes dans la société,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
24,4,"Assurer aux femmes la maîtrise de leur sexualité, notamment par l'accès à la contraception et à l'interruption volontaire de grossesse",1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
24,5,Lutter contre la précarité des femmes,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
24,6,Garantir l'égalité professionnelle et salariale et la mixité dans les métiers,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
24,10,Diffuser les recherches sur la construction sociale des rôles sexués,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
24,11,Autre,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,avoir un ministère dédié aux droits des femmes
25,1,Lutter contre les violences faites aux femmes et les atteintes à leur dignité,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
25,3,Lutter contre les préjugés sur la place et le rôle des femmes et des hommes dans la société,1.	Quels sont selon vous les domaines où il est le plus urgent d’agir pour réduire les inégalités entre les femmes et les hommes ? <i>(vous pouvez cocher plusieurs cases)</i>,NA
